Category,Item,Description,Estimated Budget,Notes
"1. Venue & Hospitality","Accommodation: Twin Share","Based on Two Bedroom Suite ($779/night + 18% tax/fee) occupied by 3 people.","~$918 pp (Total 3 Nights)","Rate: $779 + 18% (Tax/Resort Fee). 3-Night Stay."
"1. Venue & Hospitality","Accommodation: Single Upgrade","Based on Two Bedroom Suite occupied by 2 people (1 per room).","~$1,380 pp (Total 3 Nights)","""Single"" implies paying for 1 full bedroom in the suite."
"1. Venue & Hospitality","Venue Rental","Conference rooms, ""The Ram"" private dining, Outdoor spaces","$5,000 - $15,000","Depends on room block size & F&B minimums."
"1. Venue & Hospitality","F&B: Welcome Reception","Friday Night Networking (Drinks + Canapés)","$100 - $150 pp",""
"1. Venue & Hospitality","F&B: Breakfasts","Sat/Sun Morning (Health-focused)","$40 - $60 pp/day",""
"1. Venue & Hospitality","F&B: Summit Dinner","Saturday Night Gala (3-course + Wine)","$200 - $300 pp","""The Summit Dinner"" Sponsorship opportunity."
"1. Venue & Hospitality","F&B: Lunches","Hiking packed lunches or buffets","$35 - $50 pp/day",""
"1. Venue & Hospitality","Gratuity/Service Charge","Mandatory venue service fee","~24% of F&B","**Critical hidden cost.**"
"2. Production & AV","Main Stage AV","Sound, Mics, Screen/Projector/LED Wall, Technician","$10,000 - $25,000","Essential for keynotes."
"2. Production & AV","Content Crew","Videographers & Photographers (2-4 person crew)","$8,000 - $15,000","For ""The Content Series"" asset."
"2. Production & AV","Post-Production","Editing daily recaps + final highlight reel","$3,000 - $6,000","Fast turnaround required for social sharing."
"2. Production & AV","Branding/Signage","Stage backdrop, pop-ups, directional signage, flags","$2,000 - $5,000",""
"2. Production & AV","Site Build","""Recovery Zone"" setup, furniture rental if needed","$2,000 - $5,000",""
"3. Talent & Programming","Keynote Speaker Fees","Honorariums for high-profile speakers","$10k - $50k+","Varies wildly; Mark Pattison + others."
"3. Talent & Programming","Talent Travel","Flights/Hotel for Speakers/VIPs","$5,000 - $10,000",""
"3. Talent & Programming","Hiking Guides","Professional guides for the ""K2"" or ""Everest"" hikes","$1,500 - $3,000","Safety ratio 1:10 usually required."
"3. Talent & Programming","Wellness Staff","Yoga instructors, Breathwork coaches","$500 - $1,500","Morning sessions."
"4. Guest Experience","The Gear Drop","Premium Welcome Pack (Jacket, Backpack, Tech)","$200 - $500 pp","High impact; potentially sponsored."
"4. Guest Experience","Recovery Zone","Rental of boots (Normatec), hydration drips","$2,000 - $4,000","""Recovery Zone"" Sponsorship opportunity."
"4. Guest Experience","Transport","Guest Shuttles ($500/shuttle 4hr min)","$2,000 - $5,000","Rate: $500/shuttle min + $150/hr."
"4. Guest Experience","Miscellaneous","Badges, Lanyards, Printed Agendas","$500 - $1,000",""
"5. Operations & Marketing","Event Insurance","Liability insurance for physical activity event","$1,000 - $2,500","Critical for hiking events."
"5. Operations & Marketing","Medical/Safety","EMT on standby for hikes","$1,000 - $2,000",""
"5. Operations & Marketing","Website/Hosting","Domain, Vercel/Netlify hosting, Email service","$500",""
"5. Operations & Marketing","Marketing/PR","Paid social ads, PR agency time (""Halo Effect"")","$2,000 - $10,000",""
"5. Operations & Marketing","Event Staff","Producers, On-site coordinators","$5,000 - $10,000",""
